일자,액화천연가스 LNG(MWh),석탄(MWh),중유(MWh)
2015-01-01,29190,98525,0
2015-01-02,32076,115424,0
2015-01-03,27392,117490,0
2015-01-04,26735,112604,0
2015-01-05,30373,117665,8501
2015-01-06,29614,117502,12746
2015-01-07,35676,118112,15121
2015-01-08,34324,118124,16015
2015-01-09,36374,117890,9978
2015-01-10,31003,117201,0
2015-01-11,28815,113000,0
2015-01-12,38389,117350,0
2015-01-13,35065,117815,0
2015-01-14,32345,106105,0
2015-01-15,31110,106113,0
2015-01-16,27466,114367,0
2015-01-17,25878,116289,0
2015-01-18,25144,107420,0
2015-01-19,29657,115870,0
2015-01-20,31544,117801,0
2015-01-21,28155,117739,0
2015-01-22,28628,117818,0
2015-01-23,26245,118076,0
2015-01-24,23709,115184,0
2015-01-25,23746,101334,0
2015-01-26,24245,115507,0
2015-01-27,30940,116676,0
2015-01-28,31132,118460,0
2015-01-29,31005,117722,0
2015-01-30,31079,118173,0
2015-01-31,26463,117084,0
2015-02-01,26459,116728,0
2015-02-02,33697,118100,0
2015-02-03,31696,118189,0
2015-02-04,32175,118405,0
2015-02-05,30833,118012,0
2015-02-06,30926,118138,0
2015-02-07,25472,118075,0
2015-02-08,26992,116028,0
2015-02-09,39433,117983,9011
2015-02-10,31497,118025,12451
2015-02-11,30516,117840,12463
2015-02-12,31223,118131,12474
2015-02-13,31903,118170,5984
2015-02-14,24754,118095,0
2015-02-15,23779,115909,0
2015-02-16,25807,116447,0
2015-02-17,26015,117285,0
2015-02-18,9990,108902,0
2015-02-19,5330,98751,0
2015-02-20,18721,97300,0
2015-02-21,9254,109313,0
2015-02-22,9270,108157,0
2015-02-23,24655,114962,0
2015-02-24,27407,117591,0
2015-02-25,24549,117757,0
2015-02-26,25166,117348,0
2015-02-27,26838,115641,0
2015-02-28,24012,93417,0
2015-03-01,24952,94386,0
2015-03-02,26468,113177,17167
2015-03-03,28194,114644,26669
2015-03-04,26749,111675,25245
2015-03-05,30473,96035,23659
2015-03-06,28897,94093,26855
2015-03-07,25727,94034,26074
2015-03-08,14959,92295,21186
2015-03-09,25833,93409,23927
2015-03-10,32624,94148,26883
2015-03-11,29672,94229,26703
2015-03-12,27410,94339,26495
2015-03-13,28453,93844,26473
2015-03-14,23647,89511,25526
2015-03-15,8288,99874,21356
2015-03-16,21927,100230,24056
2015-03-17,22207,96848,23881
2015-03-18,20757,107007,24873
2015-03-19,18132,105921,25488
2015-03-20,14755,106703,21767
2015-03-21,6116,106215,18929
2015-03-22,3349,102192,10562
2015-03-23,12370,105710,22725
2015-03-24,15291,107141,25737
2015-03-25,19068,107003,25705
2015-03-26,15387,106678,23084
2015-03-27,13853,106465,22220
2015-03-28,2005,107815,19810
2015-03-29,2352,109923,10895
2015-03-30,12875,112562,22589
2015-03-31,13180,115660,22358
2015-04-01,21626,116278,76
2015-04-02,19881,117382,5186
2015-04-03,20882,116839,6328
2015-04-04,18043,111502,0
2015-04-05,18242,109881,0
2015-04-06,23281,111398,10848
2015-04-07,25972,112065,15421
2015-04-08,23883,112004,15879
2015-04-09,23122,111751,15720
2015-04-10,23030,110906,13392
2015-04-11,5490,111730,8049
2015-04-12,6122,109037,7684
2015-04-13,20700,108967,13444
2015-04-14,24713,105303,15113
2015-04-15,24512,104968,13933
2015-04-16,14383,113852,14205
2015-04-17,16845,117152,6318
2015-04-18,16628,116811,0
2015-04-19,17853,113550,0
2015-04-20,20293,115915,5444
2015-04-21,12231,117513,7193
2015-04-22,9557,117551,6934
2015-04-23,9342,115753,6535
2015-04-24,9217,110758,6792
2015-04-25,5,111188,7737
2015-04-26,0,110444,7680
2015-04-27,7944,116299,6781
2015-04-28,20074,117006,0
2015-04-29,20967,118102,5252
2015-04-30,18069,117375,5115
2015-05-01,17768,116826,0
2015-05-02,17899,114966,0
2015-05-03,17999,113458,0
2015-05-04,17785,111574,0
2015-05-05,17984,110706,0
2015-05-06,19581,114826,9290
2015-05-07,19486,117659,13738
2015-05-08,18575,117123,12577
2015-05-09,0,118173,7282
2015-05-10,0,113706,7282
2015-05-11,0,116397,7430
2015-05-12,0,116214,8238
2015-05-13,0,104231,8050
2015-05-14,2654,103873,8140
2015-05-15,2472,104079,8197
2015-05-16,4157,98866,7664
2015-05-17,3523,96553,7500
2015-05-18,22115,97485,0
2015-05-19,22964,88056,0
2015-05-20,21266,87547,0
2015-05-21,23324,88067,0
2015-05-22,22563,87869,0
2015-05-23,20878,93282,0
2015-05-24,18943,97453,0
2015-05-25,20484,98458,4372
2015-05-26,9823,99654,12963
2015-05-27,20109,87493,14727
2015-05-28,22889,96787,14854
2015-05-29,23706,100116,15076
2015-05-30,1508,110608,7634
2015-05-31,0,113605,7435
2015-06-01,13766,115607,9127
2015-06-02,19651,116981,12398
2015-06-03,19479,116364,13739
2015-06-04,21169,116964,14140
2015-06-05,19659,117513,10867
2015-06-06,9748,117062,0
2015-06-07,17434,113683,0
2015-06-08,19681,116804,4643
2015-06-09,14428,117838,7393
2015-06-10,16095,117615,7260
2015-06-11,13539,117696,6492
2015-06-12,19172,117481,0
2015-06-13,18429,116966,0
2015-06-14,17328,114490,0
2015-06-15,19158,115697,0
2015-06-16,19558,116723,0
2015-06-17,18937,117121,0
2015-06-18,19063,117209,0
2015-06-19,19089,116608,0
2015-06-20,9560,116935,0
2015-06-21,9190,112302,0
2015-06-22,12644,115504,0
2015-06-23,8102,117150,0
2015-06-24,8739,116138,625
2015-06-25,9374,111123,4911
2015-06-26,17794,105584,0
2015-06-27,17595,104279,0
2015-06-28,17116,107262,0
2015-06-29,18218,107589,0
2015-06-30,18204,104505,0
2015-07-01,16571,103462,0
2015-07-02,17226,103862,0
2015-07-03,17388,103779,0
2015-07-04,17234,99689,0
2015-07-05,17202,96072,0
2015-07-06,15916,102079,6396
2015-07-07,10377,104147,7507
2015-07-08,11010,103524,7479
2015-07-09,12178,104129,6771
2015-07-10,18276,103820,0
2015-07-11,17276,102878,0
2015-07-12,16354,97074,0
2015-07-13,15719,102127,0
2015-07-14,18304,103481,0
2015-07-15,18203,104152,0
2015-07-16,17529,101895,0
2015-07-17,17154,101790,0
2015-07-18,17185,100681,0
2015-07-19,17195,98398,0
2015-07-20,18232,98946,0
2015-07-21,18534,99834,0
2015-07-22,20227,99969,0
2015-07-23,20584,100779,0
2015-07-24,18932,100225,0
2015-07-25,17477,99005,0
2015-07-26,17497,95723,0
2015-07-27,20093,98704,0
2015-07-28,22943,100563,0
2015-07-29,21535,103121,0
2015-07-30,22062,103118,3559
2015-07-31,20509,103775,0
2015-08-01,9107,100640,0
2015-08-02,11645,99468,0
2015-08-03,17123,103604,0
2015-08-04,17521,112273,0
2015-08-05,18047,108242,0
2015-08-06,20693,112185,0
2015-08-07,21779,116819,0
2015-08-08,25875,112879,0
2015-08-09,19974,104199,0
2015-08-10,23941,106035,14521
2015-08-11,25797,110575,20213
2015-08-12,22704,112477,19535
2015-08-13,16931,110243,15083
2015-08-14,19825,109948,0
2015-08-15,19020,108633,0
2015-08-16,17517,104044,0
2015-08-17,22549,106099,11385
2015-08-18,25758,106619,20879
2015-08-19,23296,108828,20258
2015-08-20,25728,110156,20856
2015-08-21,19766,105498,15241
2015-08-22,8367,104061,5213
2015-08-23,7734,91217,0
2015-08-24,26444,101848,8667
2015-08-25,19661,110020,5282
2015-08-26,19940,100581,0
2015-08-27,19851,106560,0
2015-08-28,20087,99128,0
2015-08-29,20472,90684,0
2015-08-30,18180,84557,0
2015-08-31,20176,103367,0
2015-09-01,29426,114998,9064
2015-09-02,27776,115634,13435
2015-09-03,30274,115489,16377
2015-09-04,31745,114922,20042
2015-09-05,33399,110194,9618
2015-09-06,22275,102864,0
2015-09-07,30355,109351,7095
2015-09-08,26352,109065,6545
2015-09-09,29019,101485,6644
2015-09-10,30246,101168,10837
2015-09-11,31944,101492,13351
2015-09-12,22942,101103,11349
2015-09-13,21117,98324,0
2015-09-14,28315,101159,8566
2015-09-15,30261,101485,6610
2015-09-16,26639,100943,6517
2015-09-17,25449,101301,6483
2015-09-18,25099,101105,6452
2015-09-19,20831,101324,9
2015-09-20,12547,97057,0
2015-09-21,29389,98552,0
2015-09-22,29085,101202,0
2015-09-23,25456,101449,0
2015-09-24,28300,101230,0
2015-09-25,17876,101035,0
2015-09-26,15976,90656,0
2015-09-27,285,73363,0
2015-09-28,3507,76196,0
2015-09-29,9778,85811,0
2015-09-30,7263,96795,4287
2015-10-01,7016,98810,7532
2015-10-02,5675,96094,4411
2015-10-03,8576,80119,0
2015-10-04,8301,86045,0
2015-10-05,12017,94014,0
2015-10-06,14219,89483,4734
2015-10-07,13234,87259,7157
2015-10-08,14562,83445,7257
2015-10-09,13422,80202,6368
2015-10-10,13337,77328,6261
2015-10-11,13323,71512,6265
2015-10-12,13679,77251,11480
2015-10-13,13437,75616,14189
2015-10-14,11602,79565,14063
2015-10-15,8380,82346,13611
2015-10-16,10766,97895,13416
2015-10-17,13441,100788,6352
2015-10-18,12342,97293,6395
2015-10-19,13319,94871,6482
2015-10-20,13592,89604,6570
2015-10-21,13495,95634,6725
2015-10-22,13034,95286,6497
2015-10-23,11150,96760,6675
2015-10-24,0,90372,7592
2015-10-25,0,88196,7603
2015-10-26,11074,86735,727
2015-10-27,10060,86930,0
2015-10-28,9731,97990,0
2015-10-29,25044,94537,0
2015-10-30,20353,81860,0
2015-10-31,4030,76054,6276
2015-11-01,9661,72692,8400
2015-11-02,19294,84184,20382
2015-11-03,19368,91665,24985
2015-11-04,21031,85771,25253
2015-11-05,16021,86957,25832
2015-11-06,13706,85092,25267
2015-11-07,4669,82375,21965
2015-11-08,3818,77745,12854
2015-11-09,15931,86648,22543
2015-11-10,13572,98529,24206
2015-11-11,15225,99876,23008
2015-11-12,15604,100847,23432
2015-11-13,15457,93165,23599
2015-11-14,18786,74017,20720
2015-11-15,6724,74331,12935
2015-11-16,18143,81726,22826
2015-11-17,15649,83348,23522
2015-11-18,15487,82565,24203
2015-11-19,18619,82534,25067
2015-11-20,20516,82894,23537
2015-11-21,19271,76488,22118
2015-11-22,8606,72973,13196
2015-11-23,17507,84085,20375
2015-11-24,21310,94441,22912
2015-11-25,19323,97663,23561
2015-11-26,20237,97653,22680
2015-11-27,27060,100645,22329
2015-11-28,17154,97145,21229
2015-11-29,5598,96078,8403
2015-11-30,18737,97324,18812
2015-12-01,21197,100217,23137
2015-12-02,23605,100269,23081
2015-12-03,21845,100385,23470
2015-12-04,28947,97443,22687
2015-12-05,23233,98406,19466
2015-12-06,11429,99121,12395
2015-12-07,24889,101172,14872
2015-12-08,23748,101386,16616
2015-12-09,20285,101452,16700
2015-12-10,22826,100286,16392
2015-12-11,20900,99104,15871
2015-12-12,14980,100831,14818
2015-12-13,4873,95937,8198
2015-12-14,18610,103588,20838
2015-12-15,21659,101410,24465
2015-12-16,22575,108316,23412
2015-12-17,24690,113145,25299
2015-12-18,29246,113652,25850
2015-12-19,10411,112603,24353
2015-12-20,5353,108286,14026
2015-12-21,18986,111255,21805
2015-12-22,20246,113316,24627
2015-12-23,20556,112257,23311
2015-12-24,20455,111708,22312
2015-12-25,8375,107022,18965
2015-12-26,8395,106704,18957
2015-12-27,8379,105508,13290
2015-12-28,21847,112012,22165
2015-12-29,23005,113357,25612
2015-12-30,20151,112626,24105
2015-12-31,14529,112296,21293
2016-01-01,5678,91437,8432
2016-01-02,8306,90454,7669
2016-01-03,5607,102771,7699
2016-01-04,18356,112043,14160
2016-01-05,21590,113736,23218
2016-01-06,23164,113385,26339
2016-01-07,23617,113094,24856
2016-01-08,25969,113489,27118
2016-01-09,23966,113622,24956
2016-01-10,8819,103749,20525
2016-01-11,21907,113018,24705
2016-01-12,25396,113441,27082
2016-01-13,25949,113746,27150
2016-01-14,25511,113258,26194
2016-01-15,27147,113646,27127
2016-01-16,9437,113621,26469
2016-01-17,8397,111971,20339
2016-01-18,24177,112396,23577
2016-01-19,33515,112617,26664
2016-01-20,35806,112689,27104
2016-01-21,31108,113253,26473
2016-01-22,31254,113352,27062
2016-01-23,29739,113341,27043
2016-01-24,23610,113345,25019
2016-01-25,32880,113656,26009
2016-01-26,31777,113721,27086
2016-01-27,30946,113771,27166
2016-01-28,28905,113663,27172
2016-01-29,28150,113218,26173
2016-01-30,24685,113549,25718
2016-01-31,11059,111150,21529
2016-02-01,31376,112899,27141
2016-02-02,31658,113547,27117
2016-02-03,32599,111863,27184
2016-02-04,30927,107832,27154
2016-02-05,28547,102020,26702
2016-02-06,24948,101638,8591
2016-02-07,9397,94366,7955
2016-02-08,8406,68767,7943
2016-02-09,8032,72514,7911
2016-02-10,8031,88854,8072
2016-02-11,18725,111524,20662
2016-02-12,23462,112030,24572
2016-02-13,13993,112565,23872
2016-02-14,10429,108127,21273
2016-02-15,23172,112474,26408
2016-02-16,26559,107511,26620
2016-02-17,27929,97653,27164
2016-02-18,25196,101736,27117
2016-02-19,24511,102238,24880
2016-02-20,17543,103624,26381
2016-02-21,10109,104526,22484
2016-02-22,26512,107402,26390
2016-02-23,23377,107716,26222
2016-02-24,27474,108144,27097
2016-02-25,25106,108215,27081
2016-02-26,24209,107962,27047
2016-02-27,23543,107750,26865
2016-02-28,8040,104712,25984
2016-02-29,23860,107320,26847
2016-03-01,27823,96290,27084
2016-03-02,28277,96919,27053
2016-03-03,27587,96537,27041
2016-03-04,24413,96878,27070
2016-03-05,23612,96329,17826
2016-03-06,14053,89518,13836
2016-03-07,23149,94293,25286
2016-03-08,22821,96395,27080
2016-03-09,25663,96245,26854
2016-03-10,27418,96454,27088
2016-03-11,27089,96349,24329
2016-03-12,23444,96273,17993
2016-03-13,20159,92724,17170
2016-03-14,21576,94667,24051
2016-03-15,24345,96338,26640
2016-03-16,23277,96208,17821
2016-03-17,21526,95762,17752
2016-03-18,15490,95916,21085
2016-03-19,15069,95578,24549
2016-03-20,6143,87502,9528
2016-03-21,16087,93349,21258
2016-03-22,16797,95995,26544
2016-03-23,19865,96362,26745
2016-03-24,19764,96471,26646
2016-03-25,18264,95850,25154
2016-03-26,18038,95743,25498
2016-03-27,4557,86204,20841
2016-03-28,13769,88356,16871
2016-03-29,18119,94423,16302
2016-03-30,14944,95367,16788
2016-03-31,14277,83998,16639
2016-04-01,13668,83188,16316
2016-04-02,13531,71006,13901
2016-04-03,3649,70652,13755
2016-04-04,17671,72452,17314
2016-04-05,15120,72995,16743
2016-04-06,14755,83881,16161
2016-04-07,15375,87536,16847
2016-04-08,14147,89540,16674
2016-04-09,14370,85288,9013
2016-04-10,5251,83851,6615
2016-04-11,15070,84962,14126
2016-04-12,12389,85633,16577
2016-04-13,11794,85087,15363
2016-04-14,14656,74078,16077
2016-04-15,11804,74142,16291
2016-04-16,13945,73578,14283
2016-04-17,491,66221,12918
2016-04-18,9122,71195,15565
2016-04-19,11970,73356,16941
2016-04-20,12706,75962,16737
2016-04-21,12874,85115,17125
2016-04-22,13540,84021,15883
2016-04-23,112,83604,14192
2016-04-24,0,80649,12951
2016-04-25,8672,83469,15050
2016-04-26,12461,83687,16071
2016-04-27,12440,84565,16545
2016-04-28,12965,75990,16137
2016-04-29,12966,78993,14849
2016-04-30,5299,81578,10790
2016-05-01,0,71931,8334
2016-05-02,12507,70626,14079
2016-05-03,16560,73823,16614
2016-05-04,16286,80447,16445
2016-05-05,14755,87470,15724
2016-05-06,18000,86480,13314
2016-05-07,8896,75039,7522
2016-05-08,6944,74586,7600
2016-05-09,14710,84986,14995
2016-05-10,19138,80790,17021
2016-05-11,19731,74875,17320
2016-05-12,18177,68014,17131
2016-05-13,16102,81331,17898
2016-05-14,4824,69350,16518
2016-05-15,2738,66263,16344
2016-05-16,12243,75397,16483
2016-05-17,18619,78991,17947
2016-05-18,20446,81488,16240
2016-05-19,16457,82133,17320
2016-05-20,15164,78572,16838
2016-05-21,14798,76364,17172
2016-05-22,7069,71364,7399
2016-05-23,16170,76965,14229
2016-05-24,19132,78280,17118
2016-05-25,17051,87014,17983
2016-05-26,17096,84620,16533
2016-05-27,16990,84607,17219
2016-05-28,2066,81169,8735
2016-05-29,1138,88470,8990
2016-05-30,14138,78576,8919
2016-05-31,16600,83985,14079
2016-06-01,18565,88655,8001
2016-06-02,19745,88101,8447
2016-06-03,17475,88487,7877
2016-06-04,7511,80182,7725
2016-06-05,3429,79973,7751
2016-06-06,13941,74536,7826
2016-06-07,16986,79725,7979
2016-06-08,17349,79232,8208
2016-06-09,19415,78426,8341
2016-06-10,19527,78839,7301
2016-06-11,21389,74889,0
2016-06-12,15321,69370,0
2016-06-13,23199,75871,0
2016-06-14,20906,83092,0
2016-06-15,18959,86391,1254
2016-06-16,18418,84848,8682
2016-06-17,17568,66016,8176
2016-06-18,8662,60144,8115
2016-06-19,8790,59332,7080
2016-06-20,22834,64479,8292
2016-06-21,26652,68924,8696
2016-06-22,23563,68129,7879
2016-06-23,26460,67896,10599
2016-06-24,21676,69026,17111
2016-06-25,14747,60358,15454
2016-06-26,0,57989,12472
2016-06-27,11612,67530,15552
2016-06-28,15134,78556,16125
2016-06-29,19004,88560,16592
2016-06-30,20843,91977,16119
2016-07-01,24157,94304,290
2016-07-02,19296,90444,3148
2016-07-03,13226,76395,3829
2016-07-04,20171,80269,3376
2016-07-05,24182,79706,12202
2016-07-06,21243,82297,14994
2016-07-07,22608,97924,14792
2016-07-08,27582,86599,18735
2016-07-09,24764,87023,21652
2016-07-10,21728,81739,0
2016-07-11,30646,98975,16088
2016-07-12,28065,105897,23142
2016-07-13,25548,110831,21973
2016-07-14,25976,112765,21586
2016-07-15,22665,115832,19149
2016-07-16,17077,99660,12456
2016-07-17,16864,100371,0
2016-07-18,18996,102773,8862
2016-07-19,21993,102291,14449
2016-07-20,23819,101111,17716
2016-07-21,24473,102232,20619
2016-07-22,28585,105101,20119
2016-07-23,29600,97539,13044
2016-07-24,27252,100481,12094
2016-07-25,34667,111094,17463
2016-07-26,31648,107795,20740
2016-07-27,28228,124326,20399
2016-07-28,29560,118386,20655
2016-07-29,25854,106309,18393
2016-07-30,25378,98534,13103
2016-07-31,24749,92304,11638
2016-08-01,13956,98585,0
2016-08-02,12605,102355,0
2016-08-03,13527,105282,0
2016-08-04,18667,105857,9585
2016-08-05,23738,98539,20016
2016-08-06,31016,102172,13090
2016-08-07,19329,105983,12325
2016-08-08,30037,112195,23132
2016-08-09,31709,113187,22753
2016-08-10,31001,110171,21942
2016-08-11,33912,113423,22245
2016-08-12,32426,114221,23065
2016-08-13,25357,108437,17823
2016-08-14,21068,102818,0
2016-08-15,22918,106288,11545
2016-08-16,26200,113267,21498
2016-08-17,29721,110324,21292
2016-08-18,29597,112969,20733
2016-08-19,29230,117763,20355
2016-08-20,23141,124744,19903
